Survey;Label
Sangat baik dalam menjelaskan materi dan juga menyampikan tugas tugas;positif
walaupun yang mengajar selalu asisten tetapi materi yang disampaikan sangat baik.;positif
Walaupun, Pelajaran ini merupakan kelas besar sebaiknya bisa diadakan offline dan online secara bergantian.;negatif
sebaiknya tidak usah menyuruh maju satu persatu untuk mengerjakan soal cukup menyuruh anak yang mampu saja,karena ketika maju saat dipanggil saat tidak bisa memang diajarin caranya tapi terkesan memarahi.Saya kira saya sedang berada di sekolah bukan Pelajaran.;negatif
semoga lebih baik kedepannya;positif
Pelajaran dilaksanakan secara offline;negatif
Bismillah lancar;positif
mungkin untuk guru pengampu pada mapel mtk semester ini untuk cara mengajarnya lebih disemangatkan lagi, dan sekiranya tidak ada halangan bisa on cam agar Siswa tidak boring padamapel tersebut;negatif
Saran untuk pembelajaran Pelajaran elektronika telekomunikasi adalah semoga semakin lebih baik lagi dalam menyampaikan materi;positif
Gurunya asik;positif
Saran bu, mungkin kedepannya jika menjelaskan materi bisa improf dan dijelaskan menggunakan kalimat ibu saja, karena jika berpacu dengan ppt saja kami sebagai Siswa merasa suntuk dan jadinya tidak memperhatikan ibu saat memaparkan materinya. Dan mohon maaf bu, mungkin dalam absen bisa lebih teliti lagi bu. Terima kasih;negatif
Terimakasih atas materi yang disampaikan;positif
Ditingkatkan;positif
guru Pelajaran cukup baik dalam melakukan bimbingan belajar Pelajaran Internet Of Things (IoT);positif
Mohon untuk mengeshare materi pembelajaran ke elearing;negatif
Peningkatan toleransi kepada siswa, namun cukup bagus juga penerapannya;positif
saran saya untuk pemberian referensi materi agak kurang karena hanya 2 referensi dimana untuk mendapatkannya agak sulit;negatif
Bu selama mengajar dan menyampaikan materi sudahn sangat baik. Walaupun statistika itu sulit tapi alhamdulillah mudah menyerap di otak;positif
terus baik;positif
Sudah bagus dan untuk kedepannya bisa lebih baik lagi;positif
mungkin bisa di beri tugas agar kta bsa mempelajarinya dari padad tiap pertemuan kaya ceramah;negatif
Guru terlalu banyak rangkap jabatan, jadi jarang sekali masuk waktu kelas, nah kalau gak masuk kelas siswanya di suruh belajar materi sendiri. walaupun penyampaian materinya terbaik;negatif
Semoga kedepannya lebih bagus;positif
mohon definisikan arti fleksibel yang sering disebutkan oleh bapak itu apa, karena saya tidak melihat ke fleksibelan tersebut;negatif
Saran: Tetap berperilaku yang adil di semua Siswa;negatif
ditambah lagi tugas untuk Siswa agar mampu memahami;negatif
sudah sangat baik dalam mengajar, terimakasih pak;positif
Sudah sangat baik dalam menyampaikan materi pembelajaran;positif
Tidak Ada.;positif
Semoga bisa lebih menyenangkan;positif
terima kasih pak;positif
Semoga bu ngajar kita terus;positif
Luar biasa;positif
sudah cukup dan terimaksih atas ilmunya.;positif
mungkin perlu di sync dengan asisten pratikum;negatif
sudah sangat bagus dalam mengajar tetapi agak terlalu cepat dalam penyampaian materinya;negatif
Semoga lebih ditingkatkan lagi dalam proses pembelajaran yang di ampuh;negatif
cukup;positif
materi yang diajarkan sebaiknya diberikan di elearning;negatif
lebih diperhatikan lagi;positif
Tidak ada saran, semua sudah berjalan dengan baik, belajar mengajar juga lancar;positif
Terimakasih bu;positif
Selamat bu atas S2 nya;positif
Cukup baik dalam menyampaikan materi, tetapi sebaiknya tidak hanya membaca materi ppt yang disampaikan.;negatif
Cukup Baik;positif
baru pertama belajar coding langsung paham cara fokus untuk tidak mendapatkan eror disetiap aplikasi yang dijalankan;positif
Semoga Pelajaran riset operasi bisa lebih baik lagi mungkin dalam materi, penyampaian, dll;negatif
uhuyyy tubes nya mantap ibuuu..;positif
sudah sangat baik dalam memberikan materi;positif
sebaiknya cari asisten guru yang bisa ilmu mengenai database;positif
Ingin Pelajaran tatap muka tapi tidak memungkinkan;positif
Materinya kurang dapat dipahami;negatif
bisa tambah baik dalam mengajar;positif
Lebih ditingkatkan dalam menyampaikan materi agar yang menerima materi tidak bosan;negatif
sudah cukup baik namun lebih diprioritaskan lagi tentang hal mengajar dikelas;negatif
Pak sangat jelas dalam menyampaikan materi dan sangat mudah di fahami serta sabar dalam menghadapi siswanya yang kadang tidak mendengarkan beliau. Saran saya yaitu tetap pertahankan cara mengajarnya serta kesabarannya. Terimakasih;positif
Bu Mohon maaf bu kalau maul ngumpulin tugas nya telat soalnya sama kerja malem nya;negatif
menyampaikan materi dengan sangat baik dan cukup mudah untuk dipahami;positif
